Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Two or more urgent care center or retail health clinic visits,Private,8.1,"7.2,  9.0","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Medicaid or other public,9.1,"7.8, 10.4","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Other coverage,9.8,"5.9, 15.1","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Uninsured,6.1,"3.7,  9.6","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,With disability,13.9,"10.9, 17.5","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Without disability,8,"7.3,  8.8","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Large MSA,7.5,"6.7,  8.5","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Small MSA,9.6,"8.3, 11.0","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Not in MSA,9.3,"6.9, 12.1","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Northeast,9.5,"7.8, 11.5","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Midwest,8.2,"6.7,  9.8","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,South,9.2,"7.9, 10.5","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,West,6.7,"5.5,  8.0","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Large central metro,7.2,"6.0,  8.4","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Large fringe metro,7.9,"6.6,  9.3","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Medium and small metro,9.7,"8.4, 11.2","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Nonmetropolitan,9.3,"6.9, 12.1","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Little to no social vulnerability,8.4,"6.9, 10.0","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Low social vulnerability,8,"6.7,  9.4","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,Medium social vulnerability,9,"7.6, 10.6","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Two or more urgent care center or retail health clinic visits,High social vulnerability,8.2,"6.8,  9.7","Percentage of two or more urgent care visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to an urgent care center or clinic in a drug store or grocery store about [his/her] health? (Urgent care centers and clinics in drug stores or grocery stores are places where you do not need to make an appointment ahead of time, and do not usually see the same health care provider at each visit. This is different from a hospital emergency room.)""",2021
Well child check-up,Total,89,"88.1, 89.9","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Male,89.3,"88.1, 90.4","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Female,88.8,"87.5, 90.0","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,0-4 years,95,"93.8, 96.0","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,5-11 years,88.7,"87.1, 90.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,12-17 years,84.9,"83.3, 86.4","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"White, single race",88.8,"87.7, 89.8","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Black or African American, single race",92,"89.4, 94.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"American Indian or Alaska Native, single race",83.8,"73.5, 91.3","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Asian, single race",87.9,"84.6, 90.7","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Black or African American and White,90.2,"84.9, 94.2","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,American Indian or Alaska Native and White,86.1,"75.0, 93.6","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Hispanic or Latino,86.8,"84.8, 88.7","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Not Hispanic or Latino,89.8,"88.8, 90.7","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Mexican or Mexican American,85.1,"82.4, 87.5","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Not Hispanic or Latino, White, single race",89.5,"88.3, 90.7","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Not Hispanic or Latino, Black or African American, single race",91.9,"89.2, 94.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Other, non-Hispanic",88.8,"86.4, 90.9","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Single parent, never married",89.6,"86.7, 92.2","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Single parent, ever married",87.8,"84.9, 90.2","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Married parents,88.8,"87.6, 89.9","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Cohabiting parents,91.6,"88.5, 94.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,At least one related or unrelated adult (not a parent),88.2,"82.6, 92.4","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,No working parents,88.6,"85.7, 91.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Single parent, working",89.4,"87.6, 91.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Two parents, one working",87.6,"85.6, 89.4","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,"Two parents, both working",89.9,"88.6, 91.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Less than high school diploma,83.3,"79.4, 86.8","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,High school diploma or GED,88.5,"86.3, 90.5","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Some college,90,"88.5, 91.5","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,College degree or higher,89.7,"88.5, 90.9","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Less than 100% FPL,88,"85.4, 90.3","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,100% to less than 200% FPL,88.2,"86.3, 89.9","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,200% and greater FPL,89.6,"88.5, 90.6","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Private,89.9,"88.9, 90.9","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Medicaid or other public,90.1,"88.5, 91.5","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Other coverage,91.4,"87.0, 94.7","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Uninsured,64.8,"58.0, 71.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,With disability,89.1,"86.4, 91.5","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Without disability,88,"87.0, 89.0","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Large MSA,89.5,"88.3, 90.6","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Small MSA,89.5,"87.7, 91.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Not in MSA,85.9,"83.3, 88.3","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Northeast,94.3,"92.7, 95.7","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Midwest,89.6,"88.0, 91.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,South,89.2,"87.8, 90.6","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,West,84.8,"82.3, 87.1","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Large central metro,89.1,"87.5, 90.5","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Large fringe metro,90.2,"88.4, 91.7","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
Well child check-up,Medium and small metro,89.4,"87.6, 91.0","Percentage of having a well child check-up in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on questions that ascertain among those with a visit in the past 12 months, ""Was this a wellness visit, physical, or general purpose check-up?"" or a response of within the past year to the question ""About how long has it been since [child's name] last saw a doctor or other health professional for a well baby/child visit, physical, or general purpose check-up?""",2021
